Código;Descripción;ves
1236;"cinta plastia 3/4"" 25 mt peq";220
1272;Cinta plastica 1272 CELOVEN  12mm x 50m;690
JVST;cinta plastica decorada set;270
7,59E+12;cinta plastica invisible 3/425mt;550
CECT;cinta plastica unicolor surtidos;470
CNTPCRNT;Cinta porta carnet tela;375
8,99E+11;cinta raso 0.6cm;50
7,59E+12;cinta raso 1,6cmx46m;7450
7,59E+12;cinta regalo 16mmx91m;3735
7,59E+12;cinta regalo 16mmx91m METAL;6215
18741010011;cinta regalo 25mmx23m;2185
1040;cinta regalo 25mmX23mt METAL/ESCARCH;4085
VAHETOMAPS;circuito escolar electrico bombillo;3615
75916107;clip mariposa #1 jumbo x12;1075
7,59E+12;clip mariposa #2 peq x50und;1570
ESMT;clip N°1  x100;340
EXPRMGDE;clip N°1 colores x100und POINTER/CRISVI;690
PGD;clips JUMBO 50MM forrado x100unds;870
TRNSPDO;compas escolar RD 2009;655
7,59E+12;compas precision;1740
7,59E+12;cooler 2000ml PASTEL;2985
JGCRRTLLA;cooler 500mm cocacola;4910
7,90E+12;copia OFICIO;140
7,59E+12;corrector brocha SHARK 20ML;505
CLB20ML;corrector lapiz KEIROAD 7MM;645
PTAMA;corrector lapiz SHARK 7ml;515
1,76E+12;corrector OFIMAK/SHARK 2 EN 1;575
7,59E+12;costurero blister hilos y agujas;830
8,25E+11;creyon cera LA NIEVE x 6;585
8,25E+11;creyon cera LA NIEVE/PANITAS x12;1275
GCHLOT;creyon CRISVI BORRABLES X12;2145
7,20E+11;creyon CRISVI x12 normal/PASTEL;2410
PGS;creyon CRISVI x24 mina 0,4mm;4820
VDV57;creyon JUMBO CRISVI x12;4685
7,20E+11;creyon KEIROAD 2395 x12;785
BPT14;creyon PAPER MATE x12;2410
7,59E+12;creyon PAPER MATE x24;4220
7,59E+12;creyon POINTER x12  METALIC NEON;3090
GG4T;creyon POINTER x12 normal / PASTEL;1525
MP820;creyon PRISMACOLOR x48;19735
CAR;creyon SHARK KIDS x12 METALIZADO;2100
1001;creyon SHARK KIDS X24;2090
JBP;creyon SHARK KIDS X36;4475
7,20E+11;cuaderno colorear GIGANTE;1490
9182;cuaderno colorear mandala de crisvi;985
5824;cuaderno colorear PEQ;740
7,59E+12;cuaderno dibujo;375
9,02E+12;cuaderno pentagramado musica;900
1140;cuadro de diamantes;970
7,59E+12;cubo rubik mediano 6.5cm;1350
7,59E+12;cubo rubik pequeño 5.5cm;795
7,86E+12;cuento TAPA DURA ilustrado y colorear;855
7,59E+12;cuento tipo cartilla;540
6,00E+12;cuerda de saltar;605
TNB;dedal costura metal;315
2;descosedor corta costura 9cm;290
DEI;diccionario esp/ing-español/basic (E);1845
3472;dispensador de cinta plastica GRD;2335
BRK40X30;dispensador de cinta plastica PQ;2300
7,50E+12;domino caja madera;3080
4,71E+12;elastica 10mm blanca;160
JGMM;engrapadora alicate gde CRISVI cr03;4465
7,52E+12;engrapadora alicate med JIALIANG/SHARK;3215
LABNMPRT;engrapadora escritorio AMIKO 080 negro;3780
24705;engrapadora escritorio gde SHARK;3655
7,59E+12;engrapadora MINI bolsillo 410;1115
SALCTMT;escarcha 20grs SYSABE;680
EP;escarcha POTE 10GR;300
7,59E+12;escarcha sobrecito x24 colores surtidos;1100
ESTAMESC;estambre escolar;350
ETQTESC;etiqueta escolar x10und (xhoja);315
BA6;etiqueta escolar x5+calcomanias;445
TRMP7LTS;etiqueta precios sato doble;620
CL10004334;exacto corta papeles 18mm KORES/keyroad;329
7,59E+12;exacto corta papeles GRD;235
7,94E+12;exacto corta papeles PEQ;175
7,59E+12;expositor carton 102x72 cm mediano;5650
1230;expositor carton 71x51 cm pequeño;2935
PPTISU;ficha 3x5  pqte x100 peq;1265
BDEP;ficha 4x6  pqte x100 med;1610
136;ficha 5x8  pqte x100 gde;2595
FLTRO;fieltro escolar tamaño doble carta;435
BN30KG;floral alambre 0.7mmx40cm x100unds;3560
7,59E+12;floral teipe 1.2cmx3mt;490
7,59E+12;foamy 50x70  1/2 pliego escarchado;1135
CUHA12;foamy 50x70 1/2 pliego normal;725
TRM15LTSPT;foamy 60x80 pliego escarchado;1280
V80LIV;foamy 60x80 pliego normal;1040
FC;foamy carta;90
FCE;foamy carta ESCARCHADO;125
75655;foamy carta metalizado/estamp x10 unds;640
FDC;foamy doble carta;195
7,59E+12;foamy doble carta ESCARCHADO;265
3436;funda tres huecos oficio x50;2110
7,59E+12;gancho carpeta x50;1335
BALLAMIN;gancho loteria 32mm;80
7,59E+12;gancho loteria 41mm;125
6,94E+12;gancho loteria 52mm;195
PCAT;globo COMBO 7PZAS/14PZAS/5PZAS;1525
LE100C;globo figura SURTIDOS aluminio;870
75566782347;globo normal R12 x100;2510
7,59E+12;globo NUMERO aluminio 35cm;195
75903565;globo NUMERO aluminio 70cm;325
MARCOFD;gorro navidad;205
BRD;gorro navidad decorado;525
GLETBRIG;Grapa corrugada;1480
7,20E+11;Grapa lisa RD;830
8025;Grapa n° 10 pequeña x1000;255
CACRH;guirnalda METALIZADA navideña 2mts;305
7,59E+12;guirnalda navideña VERDE 1.80mt;405
7,59E+12;hilo costura peq CEBRA;340
PENEOPQ;hilo costura peq CHINO;145
7,59E+12;hoja examen x50HOJAS;1160
7,59E+12;hoja perforada 80 hojas;1665
R5/16;hoja perforada x63 PEQ decorada;925
7,59E+12;inflador de globos;1245
9,02E+12;juego ajedrez 3en1 267 crisvi;4335
7,59E+12;juego ajedrez magnetico 3158 crisvi;1985
650;juego didactico cubos de madera;1370
6,20E+12;juego geometrico flexible;1985
PER8;juego ludo y bingo x50ctn DE MESA;1335
7,45E+12;juego monopolio GRAFIMED;1845
LA3;KEYROAD creyon cera x6 2647/2650;4350
3,19E+12;KEYROAD sacapunta con borrador 2415;1265
TBLAPA;KEYROAD sacapunta doble TRIANGULO;525
1021;KEYROADsacapunta doble 2408;465
3;lamina anime cielo raso;1795
7,60E+12;lamina de anime 1,5 cm;870
7,59E+12;lamina de anime 2,5cm;1315
LA2;lamina de anime 2cm;1045
LA2.5;lamina de anime 3cm;1500
LA5;lamina de anime 5cm;2395
LPCRNT;lamina plastificar CARTA x50 225x285 80m;10475
JGRMPCBZ;lamina plastificar CARTA x50 CRISVI;17750
CMCC;lamina plastificar cedula 65x95mm x100;1400
7,45E+12;lamina plastificar mini 59x83mm x100;2055
7,60E+12;laminario didactico GRANDE;505
7,60E+12;lapiz bicolor xund ACMELIA/RD;150
7,59E+12;lapiz carboncillo soft;395
7,59E+12;lapiz dibujo tecnico ACMELIAE X12PC;1810
7,59E+12;lapiz dibujo tecnico ACMELIAE X16PC;2385
7,59E+12;lapiz dibujo tecnico ACMELIAE X8PC;1240
PLZDJ;lapiz dibujo tecnico xund;220
LA;lapiz infinito;205
7,59E+12;lapiz KEYROD ACMELIAE (E);100
CHRAMAD40;lapiz MONGOL amarillo;235
7,60E+12;lazo regalo armable PEQ;175
7,59E+12;lego multitaco;2610
8,06E+11;lentejuelas lisas X MTS;140
7,59E+12;libreta 100h empastada FAMA;580
8,27E+11;libreta 150h empastada 6mat A4;3275
BR4;libreta 150h espiral gde 6mat RD 1175-B4;3560
7,59E+12;libreta 150h espiral gde 6mat RD 1175-B5;3480
